順位,管理No,合計スコア
"1","SA050045","824"
"2","KA110344","791"
"3","CH010173","784"
"4","SA050030","781"
"5","KA110343","776"
"6","SA050038","769"
"7","KA020046","765"
"8","KA130039","755"
"9","CH040398","754"
"10","IB010102","754"
"11","NA030158","753"
"12","CH040537","752"
"13","KA020067","750"
"14","SA050041","747"
"15","CH040456","746"
"16","NA030031","745"
"17","KA030020","745"
"18","NA030155","745"
"19","KA110125","739"
"20","IB040942","739"
"21","CH040524","738"
"22","CH020179","736"
"23","NA030156","736"
"24","CH040411","732"
"25","IB050119","732"
"26","CH040580","732"
"27","CH040527","731"
"28","KA020073","729"
"29","KA150215","729"
"30","KA070128","728"
"31","KA080390","728"
"32","KA110071","727"
"33","KA120099","727"
"34","CH010102","726"
"35","IB020032","725"
"36","NA030116","725"
"37","TK150041","722"
"38","TK090046","721"
"39","TC030146","720"
"40","CH040348","718"
"41","CH030042","716"
"42","TC030094","716"
"43","CH040574","716"
"44","KA120057","715"
"45","SA130004","714"
"46","YA040077","714"
"47","IB080070","713"
"48","KA020024","712"
"49","KA150154","712"
"50","YA040066","712"
"51","KA070563","712"
"52","CH040560","712"
"53","SA050031","711"
"54","GU020055","710"
"55","KA110429","710"
"56","KA070566","709"
"57","IB040759","708"
"58","KA170046","707"
"59","KA160371","707"
"60","IB080001","706"
"61","IB070019","705"
"62","SA030001","705"
"63","KA010146","704"
"64","CH040489","704"
"65","KA110402","704"
"66","KA100019","702"
"67","SA050027","702"
"68","SA130002","701"
"69","KA080068","700"
"70","CH040428","699"
"71","IB040818","699"
"72","CH040096","698"
"73","IB080040","698"
"74","SA050011","697"
"75","IB050076","697"
"76","TC040018","696"
"77","IB080099","696"
"78","CH040326","696"
"79","KA110322","696"
"80","CH010162","696"
"81","SA050051","696"
"82","SA050052","696"
"83","CH040173","695"
"84","CH040218","695"
"85","CH010022","694"
"86","NA030125","693"
"87","KA110406","693"
"88","KA150025","692"
"89","YA010015","692"
"90","KA020072","692"
"91","TK150056","692"
"92","NA010097","692"
"93","TK130030","691"
"94","NA030049","691"
"95","IB050071","691"
"96","CH040272","690"
"97","CH040470","688"
"98","CH030074","688"
"99","CH040128","687"
"100","IB020024","687"
"101","SA090027","687"
"102","KA110249","686"
"103","KA110333","686"
"104","TK090049","686"
"105","KA160049","685"
"106","CH040161","685"
"107","CH040588","685"
"108","KA110485","685"
"109","IB040398","684"
"110","CH040460","684"
"111","IB100049","683"
"112","TK090003","683"
"113","NA030093","683"
"114","CH040474","682"
"115","TK090047","682"
"116","TK090048","682"
"117","CH040557","682"
"118","NA010096","682"
"119","IB010006","681"
"120","KA110187","681"
"121","KA100043","681"
"122","TC030004","680"
"123","IB040018","680"
"124","TK090039","680"
"125","KA120080","680"
"126","KA010051","679"
"127","TK090002","678"
"128","KA110226","678"
"129","SA050042","678"
"130","KA100004","677"
"131","KA100014","677"
"132","KA040083","677"
"133","SA050047","677"
"134","KA110015","676"
"135","CH040145","676"
"136","CH040300","676"
"137","KA110139","676"
"138","CH020136","676"
"139","GU030275","675"
"140","CH040512","675"
"141","CH010037","674"
"142","CH040641","674"
"143","IB050006","673"
"144","KA040084","673"
"145","IB050029","673"
"146","TK090033","673"
"147","KA070416","673"
"148","KA130023","673"
"149","IB070037","672"
"150","KA120121","672"
"151","KA140013","671"
"152","KA040055","671"
"153","CH040501","671"
"154","IB020039","671"
"155","CH040639","671"
"156","KA020041","670"
"157","CH010042","670"
"158","KA010286","670"
"159","CH020311","670"
"160","KA080006","669"
"161","CH040166","669"
"162","TK090035","669"
"163","KA110304","669"
"164","CH020312","669"
"165","TK090051","669"
"166","IB050135","669"
"167","GU050019","668"
"168","CH020180","668"
"169","TC030169","668"
"170","NA010089","668"
"171","KA110292","667"
"172","NA030045","666"
"173","KA020079","666"
"174","SA020050","666"
"175","NA060092","666"
"176","CH020181","666"
"177","GU010022","665"
"178","KA100008","665"
